id,secao,titulo,conteudo,empresa
14,14,Relação com garantia,"Se o produto apresentar uma falha após a entrega, o caso será tratado primeiro de acordo com
o Manual de Garantia de Produtos da BuyMais. Apenas se o caso não cumprir os critérios
de garantia ou se o cliente optar por uma devolução elegível, continuará sob esta política.
Quando houver sobreposição entre dano em trânsito e falha de funcionamento, a equipe
determinará qual é a causa mais provável com base em:
• Momento de detecção
• Tipo de dano
• Evidência apresentada
• Condição da embalagem
• Histórico de transporte",BuyMais
15,15,Relação com pagamentos,"Os reembolsos são processados no mesmo meio de pagamento utilizado na compra, salvo
impossibilidade técnica ou normativa. Se o método não permitir o estorno direto, a área de
pagamentos poderá oferecer uma alternativa equivalente conforme o caso.
Também podem intervir:
• Cancelamento de autorização
• Conciliação bancária
• Validação de titularidade
• Confirmação de captura
• Ajustes por parcelamento ou financiamento",BuyMais
16,16,Casos por país,"Como a BuyMais opera na LATAM, alguns prazos ou requisitos podem ser ajustados
devido à regulamentação local. Nesses casos:
• Respeita-se a legislação aplicável do país da compra
• Mantém-se a lógica interna de validação
• O cliente receberá a explicação correspondente antes da finalização do processo
• Poderá ser exigida documentação adicional de acordo com a regulação tributária, bancária
ou de consumo",BuyMais
17,17,Evidências necessárias,"Dependendo do caso, o suporte pode solicitar:
• Foto do produto
• Vídeo do funcionamento ou dano
• Foto da embalagem
• Foto da etiqueta de envio
• Comprovante de recebimento
• Número de série
• Descrição detalhada do incidente
• Captura de tela do erro ou mensagem do sistema
• Evidência do conteúdo recebido, quando o pedido estiver incompleto
A evidência deve ser legível, recente e consistente com o caso relatado.",BuyMais
18,18,Exemplos operacionais,"Exemplo 1
Um cliente recebe um produto diferente do comprado. Apresenta evidência dentro de 48
horas. É aprovada a devolução sem custo e coordena-se o reenvio ou reembolso.
Exemplo 2
Um cliente deseja devolver um item porque mudou de ideia. Solicita dentro dos 10 dias
corridos e o produto está sem uso. A devolução por arrependimento é aceita.
Exemplo 3
Um produto para de ligar após um mês de uso. É avaliado de acordo com o Manual de Garantia.
Se confirmado defeito de origem, é providenciada a troca ou reparo conforme a
disponibilidade.
Exemplo 4
Um pedido chega com um acessório faltando, mas o produto principal está em perfeito estado.
Avalia-se o reembolso parcial ou o envio do item faltante, mediante validação interna.",BuyMais
19,19,Tempos de resolução,"• Aviso de recebimento: imediato ou em até 24 horas úteis
• Validação inicial: 1 a 3 dias úteis
• Coleta ou recebimento: conforme a cobertura logística
• Reembolso: 5 a 10 dias úteis após a aprovação
• Encerramento administrativo: assim que a solução for executada e a conformidade interna
for registrada",BuyMais
20,20,Encerramento e comunicação,"Toda resolução deve ser comunicada com um tom claro, amigável e direto. A BuyMais
prioriza explicar:
• O que foi aprovado
• O que foi recusado
• Por que
• Quais os próximos passos
• Qual prazo o cliente deve esperar
O encerramento não deve deixar dúvidas operacionais. Se o cliente precisar de acompanhamento
posterior, o caso deve ficar documentado para futuras consultas com a mesma referência.",BuyMais
21,21,Critérios complementares de avaliação,"Além dos pontos anteriores, a equipe pode considerar:
• Comportamento histórico da conta
• Reincidência de reclamações semelhantes
• Coerência entre canais de venda e entrega
• Evidência de manipulação após o recebimento
• Possível erro de armazém ou de preparação
• Compatibilidade entre a reclamação e o tipo de produto",BuyMais
22,22,Gestão de solicitações especiais,"Algumas solicitações exigem revisão excepcional, por exemplo:
• Casos com barreiras de idioma ou acessibilidade
• Clientes com dificuldades para anexar evidência
• Entregas em áreas de cobertura complexa
• Solicitações em que o cliente relata um impacto urgente
• Casos que envolvam compensações comerciais extraordinárias
Estas situações não alteram a política, mas podem modificar a forma de validação ou
comunicação.",BuyMais
23,23,Coordenação entre áreas,"A gestão de uma devolução pode envolver:
• Atendimento ao cliente
• Logística
• Armazém
• Pagamentos
• Experiência do Cliente
• Área de garantia
• Operador logístico externo
Cada área deve registrar sua intervenção com clareza para preservar a rastreabilidade do caso.",BuyMais
24,24,Rastreabilidade e registro interno,"Todo caso deve conservar, no mínimo:
• ID ou número do caso
• Pedido vinculado
• Data da solicitação
• Motivo
• Evidência recebida
• Decisão tomada
• Status de execução
• Data de encerramento
A rastreabilidade permite responder a consultas futuras e revisar a qualidade operacional do
processo.",BuyMais
25,25,Regras de comunicação com o cliente,"A comunicação deve ser:
• Clara
• Respeitosa
• Consistente
• Sem termos técnicos desnecessários
• Sem prometer resultados antes da conclusão da validação
Se o caso for recusado, a explicação deve incluir o motivo concreto e, quando aplicável, a opção
disponível para o cliente.",BuyMais
26,26,Cenários de resolução frequente,"26.1 Produto incorreto com evidência completa
Aprova-se a troca ou o reembolso.
26.2 Falha relatada fora do prazo de incidência inicial
O caso é encaminhado à garantia ou recusado, dependendo da situação.
26.3 Pedido incompleto com evidência parcial
Solicita-se verificação adicional ou propõe-se um ajuste proporcional.
26.4 Arrependimento com produto usado
É recusado se o uso exceder as condições permitidas.
26.5 Dano em trânsito confirmado
Gerencia-se a devolução, substituição ou reembolso de acordo com a disponibilidade e a
evidência.",BuyMais
27,27,Recomendações operacionais para suporte,"• Confirmar sempre o número do pedido antes de qualquer validação
• Não classificar um caso sem revisar a evidência mínima
• Cruzar as informações com envios, pagamentos e garantia quando aplicável
• Manter uma linguagem simples e profissional
• Evitar respostas ambíguas
• Escalonar imediatamente os casos fora do protocolo
• Documentar cada resolução para consultas futuras",BuyMais
28,28,Notas de coordenação com outros documentos,"Esta política deve ser lida em conjunto com:
• O Guia de Prazos e Custos de Envio da BuyMais, para casos com atrasos, extravios ou
danos em trânsito
• As Perguntas Frequentes sobre Métodos de Pagamento da BuyMais, para reembolsos,
estornos e conciliação financeira
• O Manual de Garantia de Produtos da BuyMais, para falhas de funcionamento ou
defeitos atribuíveis ao produto
Quando houver sobreposição entre documentos, a equipe deve aplicar o critério que melhor
preserve a coerência operacional e a regulamentação local vigente.",BuyMais
29,29,Matriz orientativa de decisão,"29.1 Se o cliente mudou de ideia
Revisar arrependimento, prazo, estado do produto e restrições de categoria.
29.2 Se o produto chegou incorreto
Verificar pedido, evidência e data de entrega. Pode corresponder a troca ou reembolso.
29.3 Se o produto chegou danificado
Avaliar dano visível, embalagem e tempo de relato. Pode corresponder a devolução ou
garantia.
29.4 Se o pedido chegou incompleto
Comprovar o item faltante, recebimento e evidência. Pode corresponder a compensação
parcial.
29.5 Se a falha apareceu após o uso do produto
Encaminhar primeiro para a garantia.",BuyMais
30,30,Perguntas frequentes internas,"Pode-se aprovar uma devolução sem o retorno físico?
Sim, quando a incidência permitir e a área responsável autorizar.
Pode-se oferecer uma troca sem que o cliente devolva o produto?
Apenas em casos excepcionais e com aprovação interna documentada.
O que fazer se o cliente se recusar a devolver o produto?
Explicar a condição necessária para continuar e registrar a recusa.
O que acontece se a evidência não for conclusiva?
Solicitar informações adicionais ou escalonar para revisão.
É possível combinar compensação e reenvio?
Sim, se o caso justificar e ambas as ações ficarem registradas.",BuyMais
31,31,Critérios de escalonamento,"Escalonar quando:
• Houver cobrança sem pedido visível
• Houver discrepância entre a evidência e o relato
• O caso tiver impacto reputacional potencial
• A operação já tiver oferecido uma solução e o cliente solicitar revisão de nível superior
• O produto pertencer a uma categoria sensível ou com regulamentações especiais",BuyMais
32,32,Registro de exceções autorizadas,"Toda exceção aprovada fora do fluxo padrão deve incluir:
• Motivo da exceção
• Área aprovadora
• Data
• Impacto operacional
• Resolução aplicada
• Validade da autorização",BuyMais
